"BCL3"	"ZCCHC14"	1
"CLOCK"	"PURA"	1
"EP300"	"CHI3L2"	1
"RXRA"	"ALDH1A3"	1
"TAF1"	"ABCA3"	1
"TFDP2"	"PLS3"	1
"TAF1"	"TNS3"	0.990986425902805
"CLOCK"	"ZNF343"	0.990418575643781
"BCL3"	"CXCR5"	0.945409623573758
"RXRA"	"SLC11A2"	0.944638621166961
"TAF1"	"ITPKA"	0.9404015752187
"TFDP2"	"HBEGF"	0.936375348055753
"TAF1"	"SPTLC2"	0.929100264323998
"TFDP2"	"DHX35"	0.920655483423761
"BCL3"	"THBS3"	0.903724669622543
"RXRA"	"HOXC6"	0.903206565468925
"TFDP2"	"LARP7"	0.894920143279469
"TCF12"	"LRRC31"	0.892471033242105
"TCF12"	"NQO2"	0.892224972595512
"RXRA"	"NPEPPS"	0.886700112127189
"TAF1"	"RND3"	0.886333354891921
"TFDP2"	"GSTM4"	0.884244577698913
"BCL3"	"GLB1L"	0.881697876036067
"TCF12"	"TIPARP"	0.868903336869715
"CLOCK"	"BRPF1"	0.865265470247277
"TFDP2"	"PRKX"	0.861201427247135
"TFDP2"	"NCALD"	0.842326472865399
"TFDP2"	"GSTM1"	0.842184243806985
"CLOCK"	"CDKL3"	0.832423130243518
"TFDP2"	"SLC35D2"	0.831541341443993
"EP300"	"MYBPH"	0.831313350014971
"RXRA"	"TSPYL2"	0.831225514674356
"CLOCK"	"EIF2S3"	0.821255085827635
"TCF12"	"GAS8"	0.82103349793859
"YY1"	"TLK1"	0.816456879263939
"EZH2"	"MARK3"	0.81637946721222
"TFDP2"	"PAK6"	0.814701199291614
"EZH2"	"VPS37B"	0.811448913664918
"RXRA"	"RIPK4"	0.809767205288175
"TFDP2"	"SOX4"	0.807793892536913
"TCF12"	"FMO4"	0.807666693487077
"TFDP2"	"DEF8"	0.807359976495548
"EZH2"	"BRF1"	0.801238646103401
"TFDP2"	"AVEN"	0.799419336557923
"CLOCK"	"RUFY2"	0.798169757528359
"TCF12"	"ITK"	0.795029999547779
"BCL3"	"CUTC"	0.794845376442777
"CLOCK"	"ZKSCAN5"	0.792588180538964
"TCF12"	"RAB27A"	0.792120719851986
"RXRA"	"CASP9"	0.791512829426939
"TAF1"	"NUCKS1"	0.784063914936057
"RXRA"	"CEL"	0.782923121960288
"TFDP2"	"MAP3K10"	0.781076841135531
"CLOCK"	"ZNF215"	0.779910591278652
"CLOCK"	"ZNF197"	0.778857769426923
"YY1"	"JOSD1"	0.778190744541225
"EP300"	"PALB2"	0.775232877610314
"YY1"	"CORO2A"	0.773945973973382
"RXRA"	"PLXNB1"	0.771239701542
